w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[0.27383053],[0.72616947],[0.00188575],[0.98368235],[0.0126966],[0.00977379],[-0.99983243],[0.03378376],[-0.09964622],[1.00713157],[1.0021262]
[0.26688838],[0.73311162],[0.00874612],[0.99228575],[0.01302576],[0.00976384],[-0.99991622],[0.03276514],[-0.10020341],[1.00697992],[1.00194739]
[0.26801114],[0.73198886],[0.00156509],[0.99383877],[0.01297065],[0.00971536],[-0.99995811],[0.02778762],[-0.10048567],[1.00684631],[1.00180032]
[0.26808937],[0.73191063],[0.00349993],[0.99731713],[0.0129666],[0.00967249],[-0.99997905],[0.02336502],[-0.10019069],[1.00674988],[1.00171914]
[0.28110583],[0.71889417],[-0.00014958],[0.99716796],[0.01290156],[0.00962366],[-0.95759662],[0.01830428],[-0.09991567],[1.00665336],[1.00163688]
[0.31784137],[0.68215863],[-0.00407537],[0.99310412],[0.01292292],[0.00958399],[-0.83312089],[0.0141729],[-0.10029081],[1.00651751],[1.00148292]
[0.36027207],[0.63972793],[-0.0063387],[0.98680913],[0.01301786],[0.00955704],[-0.70049399],[0.01135734],[-0.10166097],[1.00632079],[1.00121859]
[0.29108722],[0.70891278],[0.01804793],[1.00461899],[0.01387108],[0.00967813],[-0.85024699],[0.02394754],[-0.10010335],[1.00630388],[1.00127974]
[0.27382216],[0.72617784],[-0.00318287],[1.00142142],[0.01384826],[0.00963534],[-0.91303727],[0.01951655],[-0.09909254],[1.00625558],[1.00128229]
[0.27244925],[0.72755075],[-0.00779467],[0.99361567],[0.01407514],[0.00961893],[-0.90181388],[0.01781181],[-0.09936336],[1.00613108],[1.00114485]
[0.3112875],[0.6887125],[0.00054752],[0.99415969],[0.01400681],[0.0095718],[-0.77341555],[0.01290034],[-0.09952736],[1.00601368],[1.00101982]
[0.37706895],[0.62293105],[0.00018877],[0.99434736],[0.01393828],[0.00952497],[-0.58660915],[0.00799606],[-0.09964519],[1.00589977],[1.00090058]
[0.44959148],[0.55040852],[0.00541001],[0.99972679],[0.01393956],[0.00949355],[-0.41060595],[0.00469206],[-0.09887036],[1.00583975],[1.00087963]
[0.55207699],[0.44792301],[0.00249155],[1.00221765],[0.01388185],[0.00945066],[-0.2094065],[0.00016414],[-0.09769665],[1.00580468],[1.00090347]
[0.69059247],[0.30940753],[-0.00135819],[1.00085646],[0.01381711],[0.00940594],[0.00978187],[-0.0045794],[-0.0967647],[1.00575697],[1.00090264]
[0.86309546],[0.13690454],[0.00291157],[1.00377052],[0.0137566],[0.00936502],[0.2283681],[-0.00893909],[-0.09536728],[1.0057379],[1.00095359]
[1.0629216],[-0.0629216],[0.00429213],[1.00807884],[0.01369922],[0.00932959],[0.43243917],[-0.0127302],[-0.09328661],[1.00576028],[1.00108001]
[1.08819068],[-0.08819068],[0.01207238],[1.02024875],[0.01367888],[0.0093595],[0.45444901],[-0.00952918],[-0.08924603],[1.00589826],[1.00141964]
[1.22068948],[-0.22068948],[-0.00379753],[1.01637433],[0.01361807],[0.00932234],[0.5648925],[-0.01350672],[-0.0859376],[1.00599763],[1.00168425]
[1.38122244],[-0.38122244],[0.00124081],[1.01763546],[0.01355397],[0.00927899],[0.73665402],[-0.01816831],[-0.08249618],[1.00610757],[1.00196612]
[1.34990107],[-0.34990107],[0.01437638],[1.03226537],[0.01352811],[0.00933993],[0.65888047],[-0.01162214],[-0.07671818],[1.00635372],[1.00250083]
[1.39358067],[-0.39358067],[0.00614834],[1.03861208],[0.01347192],[0.00931509],[0.68656321],[-0.01428492],[-0.07003284],[1.00665608],[1.00313729]
[1.40586565],[-0.40586565],[-0.00756174],[1.03075837],[0.01341895],[0.00930025],[0.74026943],[-0.01587951],[-0.06481188],[1.00688112],[1.00362351]
[1.41291191],[-0.41291191],[-0.00055251],[1.03018887],[0.01335644],[0.00925705],[0.87013471],[-0.02053524],[-0.05981235],[1.00709791],[1.00409056]
[1.4216566],[-0.4216566],[0.00757366],[1.03799116],[0.01330461],[0.00924286],[0.93506736],[-0.02206935],[-0.0536423],[1.00738415],[1.00468585]
[1.43347655],[-0.43347655],[0.01315831],[1.05164937],[0.01327319],[0.00928656],[0.90136046],[-0.01735307],[-0.04536246],[1.00779276],[1.00550955]
[1.4427935],[-0.4427935],[-0.00912123],[1.04205703],[0.01322589],[0.00928505],[0.88856417],[-0.01751536],[-0.03888394],[1.00810787],[1.00614981]
[1.45424671],[-0.45424671],[0.00920633],[1.05165055],[0.01317953],[0.00928433],[0.88409991],[-0.01759271],[-0.03097707],[1.00850682],[1.006946]
[0.67242348],[0.32757652],[-0.0295176],[1.02060835],[0.01326114],[0.00966259],[-0.05795005],[0.02234146],[-0.02842528],[1.00861729],[1.0071848]
[0.4432887],[0.5567113],[0.00214216],[1.02279465],[0.01320402],[0.00962072],[-0.47893325],[0.01799833],[-0.02557102],[1.00874625],[1.00745734]
[0.40425377],[0.59574623],[0.00018308],[1.0229819],[0.01314407],[0.00957704],[-0.57566254],[0.01344784],[-0.0227546],[1.00887526],[1.00772809]
[0.42878777],[0.57121223],[-0.00274463],[1.02017419],[0.01310155],[0.00953727],[-0.51998312],[0.00928607],[-0.02047439],[1.0089773],[1.00794492]
[0.48562448],[0.51437552],[-0.00386597],[1.01623023],[0.01307176],[0.00950134],[-0.39778604],[0.00551178],[-0.0189072],[1.00904257],[1.00808911]
[0.56204492],[0.43795508],[-0.00484225],[1.01130939],[0.01304834],[0.00946975],[-0.25343345],[0.00218162],[-0.0181994],[1.00906289],[1.0081451]
[0.65137341],[0.34862659],[0.00556342],[1.01693573],[0.01302276],[0.009442],[-0.10789405],[-0.00075291],[-0.01656524],[1.00913325],[1.00829777]
[0.77380039],[0.22619961],[-0.00356606],[1.01330927],[0.01297524],[0.00940589],[0.06068122],[-0.00458513],[-0.01557765],[1.00917044],[1.00838472]
[0.93194034],[0.06805966],[-0.00329539],[1.00997003],[0.0129239],[0.0093692],[0.24267096],[-0.00849321],[-0.0151733],[1.00917753],[1.0084122]
