P10,P50,P90
13.727466054529282,14.968281816620092,16.25603829245922
13.737815112268668,14.963386562292023,16.24983898562546
13.733844664651066,14.969350315323691,16.23913278166437
13.735249367626858,14.968666154109034,16.22676556987477
13.736173202743727,14.967685630384713,16.215261450640423
13.743154354831884,14.967114726640236,16.222713005114095
13.749586450186012,14.95842298646697,16.209846769923434
13.754370478939972,14.958955442481107,16.20309301672952
13.761139784830819,14.961723524532452,16.202395696693326
13.758281698911198,14.960688200152301,16.200937091537586
13.776448179813105,14.959051361091294,16.200296144605847
13.786627666742648,14.966556256411378,16.20044857304322
13.792241941307456,14.971557235295652,16.19296445218755
13.789630885917608,14.968978435275147,16.182329505841306
13.800637675876041,14.966027502803428,16.18526736553476
13.798619578605297,14.963202400481489,16.18016814672825
13.797027699505703,14.955021869427588,16.178770581120816
13.800509779444482,14.961438058644696,16.170323258145586
13.800607393648182,14.967178423828795,16.162240140552107
13.806614508961085,14.955162042312303,16.15941767114529
13.821824385032757,14.95615900798294,16.158838590822697
13.829310304396218,14.955728864699232,16.157775698597046
13.826146087475367,14.961727178807305,16.15558378116149
13.830155059232233,14.963094628369209,16.14002420438152
13.838322289259068,14.973983226354672,16.150069104433946
13.839264994848236,14.971685343213924,16.14197216680044
13.8436743883549,14.969923899435347,16.150141319076944
13.846459886775106,14.967533602079744,16.1411991831278
13.847627012607639,14.960996497912586,16.149928309482696
13.849838089192161,14.956634536138754,16.143019068081017
13.849365762596994,14.97053636001552,16.1395444030466
13.852017989810937,14.970048527577472,16.138613455342778
13.852450825395454,14.968842182112489,16.134743112593778
13.85802835507452,14.969865688879677,16.130351051448972
13.860079285697397,14.96979726414667,16.12805862796132
13.868642815966854,14.972100625348968,16.128116377458028
13.873640247427584,14.969947010981297,16.119564956555944
13.866864497027098,14.981242865292472,16.117424369434733
13.877109443357575,14.97758807501735,16.108351427425106
13.87285252136902,14.978331910427144,16.116136483989777
13.878180921493367,14.979387559726208,16.117775502546625
13.877815107835401,14.976604489568889,16.105361752566505
13.88742736193181,14.975392383062063,16.098821324856253
13.890381235245016,14.974290201917192,16.096360121593424
13.895096080782384,14.979394978902622,16.078520355872225
13.894568192951056,14.973592567578368,16.081567845534458
13.88986011750898,14.97834773900124,16.076236396773265
13.898370713101135,14.980179103357141,16.088865720305403
